2025-11-11 11:34:41,479 | INFO | scheduler | ================================================================================
2025-11-11 11:34:41,479 | INFO | scheduler | 🤖 AI Trading Bot Scheduler Started
2025-11-11 11:34:41,479 | INFO | scheduler | ================================================================================
2025-11-11 11:34:41,479 | INFO | scheduler | 📅 Daily run time: 09:35 America/New_York
2025-11-11 11:34:41,479 | INFO | scheduler | 🌍 Timezone: America/New_York
2025-11-11 11:34:41,480 | INFO | scheduler | ⏰ Current time: 2025-11-11 05:34:41 Tuesday
2025-11-11 11:34:41,480 | INFO | scheduler | 
2025-11-11 11:34:41,480 | INFO | scheduler | 📋 Schedule:
2025-11-11 11:34:41,480 | INFO | scheduler |   • Weekdays (Mon-Fri): Regular trading at 09:35
2025-11-11 11:34:41,480 | INFO | scheduler |   • Weekends (Sat-Sun): Deep analysis at 09:35
2025-11-11 11:34:41,480 | INFO | scheduler | ================================================================================
